AccX,AccY,AccZ,RawTilt,CompX,CompY,CompZ
143,-100,1057,9.31,259,220,-363
181,-100,1055,11.1,252,231,-365
92,-210,1058,12.17,282,282,-327
381,-230,980,24.43,151,319,-360
303,-275,995,22.35,186,338,-343
356,-269,981,24.46,163,334,-353
433,-253,950,27.83,124,331,-362
537,-306,868,35.47,69,382,-341
515,-291,891,33.59,83,360,-352
570,-302,845,37.37,50,384,-344
568,-279,858,36.39,53,365,-354
607,-297,816,39.57,31,387,-340
609,-314,814,40.7,26,396,-332
595,-278,839,38.2,43,367,-350
649,-274,792,41.6,7,376,-344
566,-281,860,36.28,57,364,-351
576,-332,832,38.58,44,390,-334
502,-313,895,33.47,91,356,-353
552,-296,864,35.95,64,370,-350
539,-274,876,34.61,69,356,-354
535,-273,882,34.26,67,355,-356
493,-283,907,32.9,92,358,-357
424,-271,949,27.96,131,341,-354
435,-268,945,28.39,122,345,-357
328,-295,982,24.2,173,346,-340
298,-237,1010,20.6,192,313,-354
265,-203,1027,17.94,206,290,-360
214,-198,1041,15.58,231,288,-350
170,-184,1050,13.35,246,283,-346
134,-87,1063,8.47,266,223,-358
100,-159,1065,9.92,277,254,-341
94,-94,1068,7.1,286,207,-353
23,-70,1073,3.87,316,191,-338
10,-13,1073,0.85,321,167,-338
9,-12,1074,0.79,321,166,-337
10,-12,1073,0.79,322,166,-342
7,-10,1077,0.63,327,164,-337
8,-11,1078,0.69,325,163,-337
6,-11,1078,0.63,324,162,-337
9,-11,1077,0.74,325,166,-337
6,-8,1075,0.53,322,167,-338
10,-10,1072,0.74,324,163,-340
5,-11,1075,0.63,323,163,-336
10,-14,1072,0.9,320,166,-340
9,-8,1074,0.64,324,165,-338
13,-11,1074,0.9,323,170,-339
27,-31,1070,2.18,319,177,-341
157,-51,1062,8.79,261,202,-370
138,-196,1054,12.74,264,287,-334
181,-255,1036,16.73,242,313,-335
309,-262,998,22.8,183,325,-351
435,-315,929,30.7,120,369,-342
429,-289,943,28.77,131,355,-349
455,-285,929,30.3,114,357,-349
544,-334,854,36.76,59,400,-331
617,-306,813,40.22,23,397,-333
589,-305,827,38.72,42,391,-337
548,-298,866,35.76,67,365,-352
583,-313,838,38.27,46,387,-335
576,-309,843,37.76,48,384,-342
673,-310,760,44.23,-14,399,-329
627,-274,812,40.9,20,374,-347
665,-237,796,41.51,-1,346,-361
565,-305,850,37.7,55,376,-342
627,-288,810,40.35,16,383,-338
560,-282,860,36.7,59,363,-355
542,-285,873,35.6,64,370,-348
491,-289,912,32,97,362,-350
483,-279,918,31.28,100,355,-352
516,-261,901,32.73,83,351,-357
410,-236,969,26.4,141,322,-365
464,-269,928,30.5,108,356,-350
395,-276,959,26.66,139,352,-351
222,-237,1036,17.34,228,297,-348
240,-189,1037,16.36,217,289,-354
139,-195,1057,12.7,253,271,-348
171,-115,1057,10.99,254,245,-357
144,-87,1061,8.96,263,221,-359
107,-82,1067,7.13,279,203,-358
31,-96,1076,5.28,315,213,-334
14,-19,1077,1.21,321,166,-337
11,-9,1076,0.74,321,168,-340
6,-6,1077,0.42,324,165,-338
8,-10,1078,0.63,323,165,-340
10,-8,1075,0.63,324,168,-339
7,-6,1077,0.47,323,168,-338
7,-10,1077,0.63,320,164,-341
8,-8,1079,0.58,323,165,-339
10,-7,1079,0.63,322,167,-339
5,-9,1076,0.53,325,164,-338
7,-9,1076,0.58,324,163,-338
6,-9,1076,0.53,321,166,-340
6,-8,1078,0.53,323,165,-337
9,-9,1076,0.63,322,167,-339
9,-9,1077,0.63,322,165,-336
7,-9,1076,0.58,323,166,-340
11,-11,1078,0.79,323,166,-338
10,-11,1077,0.74,322,167,-340
18,-22,1078,1.48,319,170,-338
53,-78,1069,5,298,201,-345
73,-178,1063,10.2,288,265,-331
98,-204,1062,11.98,281,281,-325
281,-309,991,22.82,194,346,-335
219,-252,1028,17.92,228,310,-344
323,-281,990,23.39,174,338,-347
386,-257,976,25.4,150,330,-355
418,-285,947,28.1,132,351,-350
472,-269,926,30.42,106,342,-360
469,-291,927,30.77,110,361,-348
509,-313,888,33.94,88,377,-344
562,-314,849,37.15,54,382,-339
508,-289,898,33.8,87,360,-353
514,-284,894,33.32,83,359,-350
556,-299,859,36.31,55,376,-341
488,-282,916,31.61,98,356,-352
585,-247,860,36.45,44,345,-364
536,-268,885,34.12,70,356,-358
