datetime,xa_raw,ya_raw,za_raw,xa_cal,ya_cal,za_cal,xm_raw,ym_raw,zm_raw,xm_cal,ym_cal,zm_cal
1/2/2015 11:45,4096,4864,16385,2816,3755,15873,1116,-370,-692,1116,-370,-692
1/2/2015 12:00,3074,2816,16131,2476,2134,16130,1102,-357,-700,1102,-357,-700
1/2/2015 12:15,3072,4608,15874,2305,4353,15788,1138,-348,-703,1138,-348,-703
1/2/2015 12:30,3328,4865,16129,2561,4098,15958,1022,-280,-754,1022,-280,-754
1/2/2015 12:45,3587,4098,16387,2135,1964,16215,1145,-335,-709,1145,-335,-709
1/2/2015 13:00,3072,4099,16387,2390,2903,16214,1112,-325,-724,1112,-325,-724
1/2/2015 13:15,3073,3587,16129,2475,3074,16044,1077,-290,-747,1077,-290,-747
1/2/2015 13:30,3842,4354,16385,3244,3329,16044,1105,-340,-713,1105,-340,-713
1/2/2015 13:45,2817,3075,16131,2646,2904,16045,1052,-322,-728,1052,-322,-728
1/2/2015 14:00,3072,4610,16128,2902,3585,15959,1097,-361,-700,1097,-361,-700
1/2/2015 14:15,2305,2819,16384,1452,1708,16215,1108,-301,-735,1108,-301,-735
1/2/2015 14:30,2306,4608,16128,1538,2731,16043,1124,-362,-693,1124,-362,-693
1/2/2015 14:45,3329,3842,16131,2818,3159,15789,1022,-284,-749,1022,-284,-749
1/2/2015 15:00,6146,7680,16129,3757,4183,15275,1124,-319,-723,1124,-319,-723
1/2/2015 15:15,3328,4097,16385,2731,2477,16214,1148,-343,-703,1148,-343,-703
1/2/2015 15:30,3840,5634,16129,3243,4267,15788,1067,-364,-700,1067,-364,-700
1/2/2015 15:45,2305,2304,16386,1878,1878,16385,1085,-312,-738,1085,-312,-738
1/2/2015 16:00,2818,2816,16384,1964,1537,16214,1045,-317,-734,1045,-317,-734
1/2/2015 16:15,2818,3841,16131,2305,3585,16045,1106,-337,-719,1106,-337,-719
