xa,ya,za,xm,ym,zm
-132.2389865,-79.92722932,1023.996353,28250.80763,10026.82054,-25873.19077
-126.3969995,-80.88692232,1025.975228,28242.67177,9624.589796,-26324.33666
-102.0869625,-48.41075432,1026.982695,27407.91845,8732.419742,-27415.11323
-129.3303185,-67.50338432,1024.996685,28639.87435,8742.486078,-26590.27391
-127.3424415,-106.6998483,1018.024453,27772.44062,11150.07696,-25788.99605
-142.9342245,-94.25704232,1021.015617,28420.94124,10591.96965,-25691.63815
-151.6844125,-106.6762163,1019.026782,28674.90898,10915.63515,-25057.36064
-99.16597945,-48.41349332,1026.981357,27486.41319,8491.597957,-27504.35304
-137.0986285,-88.52593232,1023.000141,28331.51418,10027.66812,-25962.72541
-137.1027265,-84.70180932,1023.994548,28415.62771,10108.74123,-25781.37596
-164.3369945,-111.4442993,1018.037366,28682.15494,11317.97619,-24696.54221
-158.4972795,-110.4915273,1021.009034,28841.94088,11239.2252,-24965.84065
-117.6171705,-98.10086832,1024.965509,27353.80542,10663.82401,-26424.66265
-155.5877195,-98.06929632,1020.027008,28674.75636,10996.30191,-25147.78636
-156.5499785,-109.5391383,1019.026591,28672.54454,10754.63254,-25147.49155
-202.2482825,-169.7247523,1005.120206,29376.31726,13899.4748,-22886.79541
-167.2315215,-138.2063863,1016.03375,29100.63751,11884.8959,-24151.30133
-154.6186235,-93.29106432,1020.030597,28347.48064,10993.46312,-25241.28509
-213.0091515,-120.0059523,1012.105329,29843.47255,11648.53832,-23059.94177
-131.2215015,-125.8079343,1023.957171,27703.40365,12034.90916,-25339.23263
-161.3817845,-146.8135183,1017.01499,28775.26836,12285.06,-24425.94632
-199.3728655,-125.7529013,1013.085422,29594.08108,11727.54479,-23604.38319
-204.2790705,-85.60432532,1012.130367,29421.43039,11082.05984,-23966.49244
-187.6665545,-149.6587753,1014.051074,29113.50225,12609.13185,-23519.89365
-202.2615105,-156.3423393,1006.122683,29532.72209,13256.60801,-22974.75104
-199.3573655,-141.0477793,1011.090152,29284.67838,13093.5039,-23157.58785
-153.5934095,-145.8649933,1017.012229,28126.76773,12843.16731,-24523.30422
-170.1693635,-121.9521333,1019.022344,28929.30874,11481.19062,-24604.03285
